gene	log2FoldChange	pvalue
TMEM41B	0.548918024	0.102229642
DDHD2	0.285971789	0.102059824
SRSF1	-0.19247571	0.101878192
CHTF18	-0.432176311	0.102232616
EDC4	0.204169457	0.102645347
TOMM34	-0.342164912	0.102637375
PROCR	0.550493735	0.102883638
ACAD9	-0.275883887	0.103070275
OSGEP	0.539336197	0.103659415
FAM134C	0.243069408	0.103469054
HSPA14	-0.179391834	0.103611908
NAA15	0.149610921	0.10403629
RABEPK	-0.532280694	0.10399917
STK4	-0.354265672	0.104429274
PRDX4	0.262761767	0.104667956
FARSB	0.092504141	0.105661065
NQO2	-0.105449921	0.105470536
INPPL1	-0.226300082	0.10558489
NAT10	0.256847609	0.106064999
UBE2D2;UBE2D3	0.200646385	0.106151931
DDX24	0.198547757	0.10594192
SKIV2L	-0.146074856	0.106745384
PRUNE	-0.473337429	0.106871608
COL8A1	0.491607805	0.107908821
ASCC2	0.258860693	0.107426055
NUP155	-0.158220266	0.107962825
TPT1	-0.199458086	0.107217092
MAPRE1	-0.206594609	0.107336675
COMMD10	-0.325241568	0.107588013
TCF12	-0.709251773	0.107805887
GLOD4	0.040625295	0.10828666
UBQLN4	-0.253971196	0.108288375
TERF2IP	-0.349075959	0.108523906
FAM208A	-0.339064692	0.108701966
PAM16	-0.251635781	0.10969699
BCORL1	-0.385749023	0.109878748
TRAPPC5	0.346690231	0.110158976
RRP12	0.161501758	0.110375712
CRYZL1	0.372864863	0.111969063
ATP1B3	0.097634531	0.112212766
CCS	0.381050155	0.112357596
DDX28	0.397794739	0.11259814
NAGLU	0.582946667	0.114319969
RING1	0.478488616	0.114208364
BLVRA	0.216277368	0.113654305
GDI2	0.170585145	0.113564195
TXNRD1	0.146085587	0.11421209
PGAM1	0.109926602	0.11418878
AACS	-0.22961518	0.113830465
TANC1	-0.338778484	0.113647256
AMOTL2	0.503037585	0.115060901
CNN3	-0.174781942	0.114992514
SFXN1	-0.126552648	0.115648925
ATP6V0C	1.610935901	0.116444702
PRRC1	0.309556022	0.116483454
RND3	-0.612472962	0.116201988
DAPK3	-0.149508038	0.116645374
UGDH	0.24087364	0.116809657
BCAT1	-0.50542527	0.116976971
LYPLAL1	0.296504031	0.117265439
ANKHD1	-0.196741408	0.117509898
PSMG4	0.525016644	0.118633643
TRIM3	0.319190959	0.118552641
RBM14	-0.173157331	0.118367124
SAMHD1	-0.26585337	0.117754318
HEATR5B	-0.342223201	0.11811866
FAM120C	-0.373504034	0.118571992
CD99	-0.396965515	0.118455251
RILPL1	-0.44686188	0.11868613
NDUFC2	-0.115459649	0.119786798
HSP90AA1	0.295976469	0.120310757
DAK	0.270953093	0.121019623
RRM2	-0.277739608	0.121013898
SAP18	0.297540581	0.121761401
MTMR1	-0.272373206	0.12241345
LPXN	0.733730064	0.122914452
MAPRE2	-0.451120736	0.123181004
ATP5F1	0.225968819	0.124318633
RNPEP	0.122405291	0.124199906
KPNA3	-0.196650502	0.124239667
ROCK2	-0.202774102	0.12351543
CUL4B	-0.233966217	0.124401397
ACOT2;ACOT1	-0.261925302	0.124080128
DIAPH3	-0.338967306	0.123810819
CHMP5	-0.654135887	0.123727516
NSMCE1	0.364029653	0.124954784
MRPL28	-0.25192348	0.125545082
POLR2J;POLR2J3;POLR2J2	-0.426256441	0.125510137
NOC2L	-0.232850716	0.126365696
ATP5O	0.28630341	0.12654094
CNRIP1	0.323932884	0.127297751
TTLL12	0.259369747	0.127647286
IMPDH1	-0.389128855	0.127857784
SLC30A1	0.602365565	0.128806168
GNL2	0.561271253	0.128677574
PPME1	0.255593196	0.12866252
FKRP	0.141833787	0.128830174
FADS2	-0.5945677	0.12826474
STRIP1	-1.031219895	0.128663844
MTMR6	0.315501299	0.129060979
MXRA8	0.342034338	0.129487434
VWA7	0.51345656	0.130976125
COX7C	-0.506157526	0.131564285
MOB1A;MOB1B	-0.283153911	0.131871492
DOK1	0.635525828	0.132301898
RABGAP1	0.207793483	0.13272286
ELOVL1	0.398815949	0.133140732
POP4	-0.220936264	0.13312965
GYG1	0.317414519	0.133517963
VPS28	0.145962576	0.133791978
LARS	-0.138287164	0.133686731
HELLS	-0.367738418	0.133808445
N6AMT1	0.505692895	0.134061684
PSMD5	-0.238414141	0.13456605
RARS2	-0.410724901	0.13475658
HSD17B12	0.354052245	0.135431478
PFDN5	0.350235958	0.135218277
CTTN	-0.180134554	0.135559246
TPD52L1	-0.498372774	0.135490568
ACTR10	0.392738992	0.137181161
ARF4	0.320787838	0.13689698
MLST8	0.216299038	0.13705749
TBCB	0.101669241	0.137192153
RPL5	-0.1516807	0.136639072
CIAPIN1	-0.216178702	0.137165899
POLR1C	-0.235767092	0.136721049
HOMER3	-0.240210122	0.136022395
PLCD3	-0.61104009	0.13655233
RFC2	-0.363447746	0.137397129
DDX18	0.3475968	0.138239202
TMEM261	0.125960075	0.138186384
EIF3L	-0.182711496	0.137912767
FOXP1	-0.461615695	0.137891231
PIK3C2A	-0.971245879	0.138129639
TTN	-0.369999295	0.138662487
VCAN	0.607269624	0.138842657
HIST2H2AC;HIST2H2AA3	1.003958075	0.14024642
UBLCP1	0.263373833	0.140556302
MRPL47	0.171256696	0.140622308
AHSA1	0.15238151	0.139934081
SRPR	-0.160306648	0.140735728
NCSTN	-0.175429414	0.139674669
GTF2B	-0.281177923	0.140040373
SNX18	-0.329070974	0.14052116
ATF1;CREB1	-0.423787349	0.139987675
AHNAK2	0.274427386	0.142133444
FLAD1	0.192262208	0.142409797
SET;SETSIP	-0.156970373	0.142038296
NGLY1	-0.427456433	0.142073263
ZNF428	-0.430030986	0.142323414
CLN3	0.573409985	0.143648612
STRN3	0.319038264	0.143445654
WDR61	0.140865151	0.143310594
MYH10	-0.254700007	0.14352033
CAPRIN1	-0.165833473	0.143971148
ZWILCH	-0.304542503	0.14396005
PDCD4	1.000986681	0.144676707
HMGA1	-0.233947671	0.144418374
ZSWIM8	-0.304296815	0.144562544
ARHGEF1	0.195178076	0.145297517
FAM3C	-0.425074834	0.145510607
EIF2AK2	0.145650769	0.145705695
CENPB	0.407189517	0.146534489
MRPS25	0.364628868	0.146402807
APPL2	-0.138819263	0.146561472
KDELC1	0.25179296	0.146973276
PARP4	0.166206731	0.146907649
DPH5	-0.34546835	0.147388338
BOP1	0.608422767	0.147768127
ERBB2IP	0.226947738	0.147906371
PXK	0.593870679	0.148218376
PKN1	0.970508264	0.149095371
TGFBI	0.755369682	0.150051826
PPP1R12C	0.466378652	0.150791387
DAD1	0.409270623	0.150063962
PRPF39	0.284339561	0.150312168
PRKAA1	0.279743246	0.150739863
GTF2F2	0.141207337	0.149324878
PGD	0.099258541	0.150638329
EIF3J	-0.133354708	0.150552407
IPO8	-0.207542088	0.150717057
VN1R5	-0.269067163	0.150845477
NOMO1	-0.571524285	0.150119633
DKK3	-0.647944987	0.150670759
CREBBP;EP300	0.196328855	0.151260834
PTK7	-0.388501327	0.151519803
STBD1	0.354955385	0.151730609
WNT5B	0.546704859	0.152401603
MTG1	0.204264264	0.152354069
MET	-0.1978524	0.152389582
SMARCD2	-0.360705617	0.152057638
HACD3	0.293984762	0.15280277
RTFDC1	-0.272972454	0.154285559
GTF2H1	-0.457711628	0.154465402
C12orf10	0.126530329	0.155148639
YWHAG	-0.284105358	0.155078608
CORO7	-0.421328661	0.155105014
SOGA1	0.401657596	0.156170555
ITGA11	0.329976811	0.157819817
CDC16	0.318605882	0.157585409
RRP1B	0.254487395	0.156978655
RNF214	0.212493059	0.157705369
MTDH	0.203379152	0.157671246
AP1G1	0.184410298	0.157300548
MED20	0.14502376	0.156433714
SLC25A13	0.114995734	0.157080727
TMA7	-0.198381208	0.157856779
DDX5	-0.276310185	0.157833725
SMCHD1	-0.32342514	0.15796678
PFDN1	-0.377240357	0.155460055
NUDT16	-0.422547021	0.157902613
ITGA4	-0.47899445	0.156428623
MRPL20	-0.481844632	0.157376096
CDC42BPA	-0.79867384	0.157118387
BCCIP	-0.31047414	0.158678531
TNFRSF12A	0.594909641	0.159583416
THOP1	0.081891279	0.159804231
TMPO	-0.262335291	0.159687765
PM20D2	-0.290901892	0.160032377
EMC2	0.480992971	0.160309825
YKT6	0.400909506	0.16057445
DHX38	0.686968453	0.160880394
CC2D1A	0.524216128	0.16134449
PPAT	0.315745659	0.161296538
TLN1	0.048175452	0.161369067
LRRC8A	-0.233531328	0.16143712
ACTN1	-0.052080471	0.162751743
TXLNG	-0.437047339	0.163065719
ACTR2	0.108418656	0.163490496
TAOK2	0.339980706	0.16517544
NHP2	-0.275278038	0.16538102
RUNX2	0.660636914	0.165728101
RNF181	0.142933172	0.16591913
PERP	-0.274804815	0.16578304
PACSIN2	-0.115198517	0.166449592
HINT3	-0.584724554	0.166322966
FUCA1	0.409502449	0.166843017
SZRD1	-0.384623644	0.166987093
ITGB1	-0.132044333	0.16725725
CCNB2	0.092129477	0.167715223
HSPA2	0.666098971	0.168943841
CYP2U1	0.630611436	0.169038514
STUB1	0.249677585	0.169124097
TUBA1A	0.586926736	0.169522989
COX6C	0.272735758	0.169773568
IMPAD1	0.137143182	0.17018523
ADSL	0.098889255	0.170608212
SDHA	0.189448845	0.171437772
RPF2	0.182651757	0.171347413
WASF2	-0.201019549	0.171916347
HS2ST1	-0.558175626	0.172013018
ITGB6	0.235545546	0.17239046
SNRPB2	-0.201816204	0.172331474
XPO7	-0.209148422	0.172627101
JMJD6	-0.1489111	0.173139754
HSD17B4	0.231665346	0.173724778
FTSJ3	0.220684271	0.173949207
EXOC4	0.186027218	0.173588251
FAHD2A;FAHD2B	-0.146696907	0.174056153
SSU72	-0.255956816	0.174141696
SEC23IP	-0.117175753	0.175875882
ABHD10	-0.152327528	0.175859543
PSMB3	0.210884096	0.176557348
SUPT6H	-0.203445218	0.176393426
IARS2	0.175516062	0.176787232
ERCC6L	-0.243609042	0.177976525
GIPC2	0.31697782	0.178989874
HAUS3	-0.162439626	0.178674196
GHITM	-0.278926291	0.178957521
ZC3H7A	-0.291435641	0.178624477
NUF2	-0.427771086	0.17841278
CTSC	0.346179348	0.179249677
TRIM23	0.158140864	0.179383596
DNPEP	0.095204343	0.180417146
TAGLN	-0.381521977	0.180681001
CAPN6	0.131576075	0.181236216
IST1	0.167470748	0.181627839
EPS15	0.252895608	0.182190128
CTNNA1	-0.107678593	0.182264665
RPL12	-0.159300241	0.182189231
EIF2S1	0.136812027	0.182555672
DNPH1	0.358891284	0.184187877
IGF2BP1	0.335617865	0.183456473
GPR107	0.26976232	0.184495074
MRPL4	0.228644144	0.184164415
CASP6	0.226162581	0.184510107
DTX3L	-0.23262512	0.184377474
MYO1C	-0.264078675	0.1844105
KLC2	-0.265456068	0.18359629
TMEM106B	-0.294882441	0.182931615
CHUK	-0.543423062	0.183790143
UBR5	-0.767086858	0.184751931
ERCC4	1.018590615	0.184967553
NOL7	0.376644033	0.18511274
MINOS1	0.875547233	0.185833978
CETN2	0.526728977	0.185933866
SPARC	0.479128354	0.186524467
GARS	0.287058762	0.18615166
CIRBP	0.162415822	0.186778902
CTBP2	-0.225376682	0.186495654
DICER1	-0.382471117	0.185932923
BCKDHB	-0.386796311	0.186764658
ABRACL	0.536457693	0.187675567
GAK	0.275076295	0.187345373
ACAT2	-0.216582972	0.187633059
CFL1	-0.225832828	0.187673542
ARIH1	-0.493218569	0.188127473
PHGDH	0.253648819	0.282270265
GAMT	0.252722081	0.553924968
HIST2H2AB	0.2527045	0.669817793
WDR7	0.25264915	0.951625789
CARKD	0.252382055	0.527577536
AAMDC	0.251837663	0.560766654
CCDC88A	0.251747176	0.377941645
LMF2	0.251335057	0.261500776
SQRDL	0.249392636	0.571342535
NME1	0.248936967	0.328939968
TBL1XR1	0.248567112	0.343532509
RPS6KA1;RPS6KA2	0.248175329	0.399011843
MT-CO1	0.248024102	0.586308559
RPAP1	0.247779199	0.435891882
SMYD5	0.247567654	0.27002055
BNIP2;ATCAY	0.246705285	0.538483713
MID1	0.246156188	0.346591669
DDX23	0.245302975	0.42279992
VAMP3	0.245113653	0.588424895
VPS26B	0.244844887	0.413247804
MPP6	0.244816246	0.462691536
EXOSC7	0.244152543	0.424587122
GOLGA5	0.244146524	0.570217765
CBR3	0.243850706	0.430540088
NOL10	0.243241011	0.458741603
PDLIM4	0.243218212	0.292029294
FRMD6	0.242872166	0.295883355
RPL32	0.241543605	0.343362628
UXS1	0.240680611	0.645429137
TRIM24	0.240651851	0.934212239
SNRPE	0.240514242	0.552367934
ATP2C1	0.240483761	0.609242556
ATP5D	0.240326102	0.44952578
DHPS	0.240198604	0.547369615
PPIL4	0.24019042	0.320410611
CDH13	0.239856856	0.688353213
DFNA5	0.23764145	0.3875223
SRSF4	0.237315101	0.407950055
CUTA	0.236243243	0.379729839
ZC3H7B	0.236090768	0.692265698
C5orf51	0.235588382	0.353332228
RSL1D1	0.235443331	0.331728861
HSPB11	0.235302912	0.329353946
DHX37	0.234834221	0.476301227
CAMSAP2	0.234544049	0.44912191
IER3IP1	0.23406466	0.428585902
SNX15	0.23319918	0.515462508
BMS1	0.233162232	0.371228627
CCNK	0.232412999	0.513249565
SRA1	0.232396378	0.496456071
NOL3	0.231961402	0.2777482
LRRC8E	0.231281723	0.955712423
DDX58	0.230532712	0.573768071
DYSF	0.230133038	0.725588988
HSPA1B;HSPA1A	0.228936608	0.277551293
MRPS5	0.228019785	0.457145278
CRELD2	0.227805203	0.540758633
PRKAB1	0.227799773	0.347339993
FHL3	0.227767951	0.592108861
ARL1	0.227653719	0.486833061
GSN	0.227426197	0.522309267
RAB11FIP5	0.227245899	0.42281292
PDLIM2	0.227238307	0.941272896
PVR	0.226734068	0.568027868
ALKBH5	0.226399414	0.787951756
CECR5	0.226225852	0.27815684
PITPNM1	0.22616079	0.643926352
ANO10	0.225416617	0.273315746
L2HGDH	0.225239426	0.453140803
RBM34	0.225166548	0.344242687
RNF213	0.224606637	0.39723996
LIG1	0.223763197	0.332340999
PIGG	0.223702696	0.458080495
SURF4	0.222640241	0.518438858
CHCHD6	0.222562001	0.28846052
SNX33	0.22157019	0.256297035
ZNF579	0.221168568	0.456763159
PJA2	0.220761058	0.540767206
ACOT7	0.220040482	0.283518344
FAM91A1	0.219918267	0.312262309
RAB3A	0.219881514	0.656297478
MOB4	0.21944958	0.271490689
POLR1E	0.219332391	0.823070917
ERLIN2	0.219044507	0.522985746
THUMPD3	0.218760192	0.375031305
RNF25	0.218351794	0.301097988
GSTK1	0.218344036	0.517628931
STX18	0.218134836	0.705956065
SAR1B	0.21810837	0.468395902
COQ6	0.217493906	0.515336319
LACTB2	0.217144609	0.287383467
CASP3	0.216844053	0.392620173
MRPS24	0.216659487	0.38768561
SMCO3	0.216211497	0.958595635
CRAT	0.216163061	0.3774142
SEC24B	0.215797234	0.326554368
LSM3	0.215701774	0.270252052
STX7	0.215606449	0.546438455
PPIL1	0.215361176	0.589874351
PRPSAP1	0.215308833	0.426001075
TAF4	0.214902085	0.943512498
PEX3	0.214852441	0.617677243
EFTUD1	0.214783322	0.470887882
GPAA1	0.214113905	0.54021513
CTSB	0.213117027	0.298752243
MYL6B	0.212770224	0.563512327
PIK3R2	0.212382041	0.524534269
G6PC3	0.21215969	0.606180732
TMEM132A	0.211806493	0.589639936
CDC73	0.211779303	0.31017795
SUMF2	0.211212762	0.406472318
1-Sep	0.211034455	0.959585947
PPP3R1	0.210465189	0.615414743
XRN2	0.210408711	0.326411978
GNL1	0.209934914	0.382063044
LIG3	0.209493759	0.603632793
NF2	0.209431433	0.430300527
SERPINE1	0.208491599	0.736440851
PRPF3	0.208449087	0.630401065
SERPINH1	0.208207772	0.315065214
NDUFS8	0.208039646	0.263194671
ALCAM	0.207830083	0.478232613
FUCA2	0.207741715	0.509233029
SNX3	0.207060698	0.405734982
STAU2	0.206679684	0.521903392
ARHGAP31	0.206591577	0.960436314
MMTAG2	0.206129411	0.960524598
ARMC10	0.205964083	0.452468418
MYLK	0.205624412	0.466511211
AP3M2	0.205619938	0.960622158
YIPF6	0.20552399	0.678448697
MAP2K3	0.205108287	0.298259493
HSPG2	0.204838528	0.708759335
METTL13	0.204692246	0.380446024
HERC4	0.204384646	0.474272456
PGM2L1	0.204379237	0.507706299
TMSB10	0.204093381	0.470555112
MSMO1	0.203964543	0.533516442
RELA	0.203728133	0.502492471
SLC25A32	0.203257665	0.402433954
RAB5B	0.203201364	0.26904926
NIFK	0.202848792	0.492842283
ADK	0.202353869	0.348013916
SEC22B	0.201882545	0.565619587
RPRD1B	0.201711012	0.496312518
SPG21	0.201618273	0.380158513
CNOT7	0.201509116	0.961408743
EXT1	0.201469683	0.945451668
MRPS9	0.201460717	0.282265322
BOLA1	0.201147403	0.961478126
IVNS1ABP	0.201099816	0.469746486
STAM2	0.200972188	0.331424247
IGF2BP2	0.200558617	0.264444063
TRADD	0.200550908	0.561740688
TNPO2	0.199694844	0.342167359
COMMD9	0.199504246	0.38517721
ASAP2	0.199473903	0.562732298
CHMP2B	0.199456995	0.670690144
GALNT2	0.198301787	0.33439421
TMCO3	0.198295873	0.386719504
VPS53	0.198088461	0.329301431
SLC4A7	0.198078514	0.52085089
COPS8	0.197554337	0.405841743
PTX3	0.197453449	0.652659676
ANKRD52	0.197237151	0.489539673
COX7A2L	0.197015465	0.525681202
RPL10	0.196998479	0.289023823
SLC44A1	0.196957553	0.29736984
NPM3	0.196932113	0.310189676
MEX3D	0.196826374	0.599901633
TFB1M	0.196733326	0.423238212
CPS1	0.196730883	0.432467373
MARK3	0.196375957	0.287826552
STX5	0.196005744	0.489368629
RABL6	0.195848626	0.413597113
MYO6	0.195625265	0.37711929
PDPK1;PDPK2P	0.195253417	0.307284389
PYGB	0.195171766	0.327454054
AKAP2	0.194755968	0.585524053
DPP3	0.194484171	0.329527897
GATC	0.194160781	0.440409995
KHDRBS1	0.193779985	0.505424136
MRPL16	0.193714995	0.369736259
DPY19L1	0.193624658	0.435174558
UBE2V1	0.193232214	0.3423445
CUL7	0.193192194	0.526981837
RBMS1	0.192954331	0.715026475
EIF4A2	0.19285662	0.366681483
RNASEH2C	0.192805762	0.557053053
DNAAF5	0.191671712	0.401908328
NFKB2	0.19141114	0.73152802
C11orf68	0.191018868	0.441645153
HAUS8	0.190957349	0.486534195
SIRPA;SIRPB1	0.190731911	0.474327545
NDUFAF4	0.190598065	0.526064952
GIT1	0.190205971	0.623827061
AIP	0.189611873	0.506033757
CDC42EP3	0.189241913	0.670909062
ACTR1A	0.189093215	0.264712683
DDX19A	0.188653558	0.468074797
MRPS7	0.188533523	0.281751706
CERS2	0.188073955	0.382429121
PSMA5	0.188022834	0.330007431
NFS1	0.187676399	0.951964987
IRAK4	0.186753539	0.488698462
ELMO2	0.186552342	0.479017709
INTS5	0.185367188	0.584662142
DPYSL2	0.185312301	0.558696453
UACA	0.185247286	0.285568279
PRPS2	0.185130141	0.324031533
SNX27	0.184617102	0.519735519
APOBEC3B	0.184086361	0.576517326
DARS	0.183210792	0.330644759
AAED1	0.183150626	0.964922218
MXRA7	0.182507146	0.270497774
MRPL3	0.182479473	0.390833483
CDS2	0.182247837	0.666733597
POMK	0.182194261	0.253958324
LEMD2	0.182077739	0.281964659
UBL4A	0.181863868	0.357858066
RASAL2	0.181596194	0.486241419
EHBP1L1	0.180949232	0.633632641
SLC7A6	0.180781486	0.965375656
RPL39P5;RPL39	0.180614356	0.752877286
RFC4	0.180457425	0.404375102
NDUFV3	0.180204371	0.95474544
IRF2BPL	0.180106482	0.635028747
LYAR	0.180088041	0.538337772
CLPP	0.179989512	0.56412286
APTX	0.17976119	0.554693785
PTGES2	0.179586812	0.643805351
TPMT	0.179579334	0.49713248
PSMB10	0.179490713	0.748742151
HNRNPF	0.17938065	0.487600545
SLC25A12	0.179119162	0.518719895
CAPN5	0.179104116	0.560787732
FBXO7	0.179001039	0.466709639
LAMP2	0.17899822	0.499972365
ARF6	0.178727261	0.315974066
PPP1R10	0.178587739	0.386740361
COPE	0.17829751	0.547809616
MUT	0.178200518	0.386636855
SMYD3	0.177565931	0.676015426
MPHOSPH10	0.17754608	0.275808797
DGKA	0.177185745	0.686918752
GABPB1	0.176918542	0.70937115
B4GAT1	0.176800356	0.686740049
GAA	0.176689511	0.533123742
IRGQ	0.176374734	0.296376765
DNAJB4	0.176064845	0.563898299
DPM1	0.175962215	0.523736693
PREP	0.175922461	0.367140683
TECR	0.175817973	0.301286274
C9orf142	0.175676908	0.40739249
NME7	0.175190877	0.430079107
SERPINB8	0.174941997	0.587033195
ACOT13	0.174790044	0.375192332
TERF2	0.173910714	0.5739497
SLC26A4	0.17351327	0.545812664
GLRX	0.173384716	0.516191154
PRKACA	0.172429514	0.563125457
RCN2	0.172407221	0.256174401
TOM1L2	0.17231979	0.617831892
ACTR1B	0.172136557	0.334722832
PACSIN1	0.171866223	0.420284069
PTRH1	0.171182997	0.282532035
TM9SF4	0.17111451	0.654526538
SPTLC1	0.171107461	0.388167267
GGH	0.170882024	0.631067249
NDUFB1	0.170763456	0.294411611
MBNL1	0.170450074	0.45813679
PPP1R18	0.170149219	0.355017001
IFI16	0.170032009	0.401833669
CHPT1;CEPT1	0.169777132	0.714385158
GMPR2	0.169618685	0.262833553
PLOD1	0.169511323	0.330518096
RAB3GAP1	0.169351731	0.373382052
ANKRD28	0.169151124	0.715516752
TSNAX	0.169089681	0.400338853
NIF3L1	0.168891469	0.315133982
NBN	0.168835494	0.74194154
SH3KBP1	0.168636953	0.420852277
RAB1A	0.168582565	0.283456732
GALK1	0.168332732	0.499832279
NECAP1	0.167930649	0.592313724
VPS16	0.167632392	0.63312211
SAP130	0.167577809	0.553031059
CISD1	0.167501515	0.424912372
MYO5A	0.167462784	0.411819501
TTI1	0.167338532	0.40989657
PLEKHA2	0.166908632	0.525133407
RALA	0.166654229	0.614679806
SIPA1L3	0.166483683	0.531592235
SUCO	0.166332484	0.968141635
EML1	0.16629149	0.617931464
ZFAND6	0.166245386	0.661576508
GDI1	0.16575855	0.402142064
ANAPC2	0.165574336	0.516781168
BNIP3L	0.165444909	0.52691298
ARHGEF2	0.16538967	0.464760067
BCS1L	0.165335594	0.466390067
ATOX1	0.165178002	0.523122618
NCOA7	0.164597072	0.676896151
CMAS	0.164523432	0.6820492
TBC1D10B	0.164451704	0.502154304
INTS1	0.163940719	0.547293475
PEG10	0.163722317	0.683189728
SMURF2	0.163661353	0.689466012
TMED9	0.163141243	0.646169962
OCRL	0.163069833	0.685948656
CLASP1	0.162809761	0.286986553
MOGS	0.162730459	0.608013235
RAB9A	0.162718485	0.571771438
VPS51	0.162548617	0.468825095
SMC6	0.162103005	0.596657684
CHD4	0.161921211	0.379135602
TRIP11	0.161836741	0.406950842
HEBP2	0.161750927	0.392735248
RP2	0.161747289	0.796395709
EMC1	0.161560224	0.462145412
RPL27A	0.16111322	0.435726172
SCRN2	0.161041288	0.478793664
SRC	0.160241194	0.422044935
MAP3K7	0.159924596	0.451549801
TRIM33	0.159770418	0.570555732
ERP44	0.159343838	0.313895648
NUCKS1	0.159051713	0.593861703
TIMMDC1	0.158941591	0.412633459
CUL5	0.15887077	0.458210294
FCHO2	0.158727663	0.606633338
NDUFA12	0.158509569	0.527427162
FKBP14	0.158479106	0.681212267
RBM26	0.158413155	0.413435826
HSPA6;HSPA7	0.157537682	0.507039784
RRP8	0.156731694	0.811072309
B4GALT1	0.156680153	0.72068421
GJA1	0.156484872	0.566323472
SYMPK	0.15631267	0.487455828
PPIG	0.155958603	0.281637859
THOC6	0.155901851	0.654149253
GPT2	0.155762399	0.676773885
OTUB1	0.155563852	0.354375777
TRIP4	0.155554718	0.578907188
KIAA0391	0.155463258	0.427742098
EHD1	0.155275067	0.53707132
GABPA	0.155139919	0.641988263
ZPR1	0.154966165	0.256269246
SEC24A	0.154956453	0.380569376
CYP2C19	0.154938847	0.661544725
CLMP	0.154901069	0.531096815
FH	0.154809973	0.421919902
SOS1	0.154373273	0.78588965
VPS26A	0.154209008	0.312314108
MCU	0.154163194	0.370082959
ITPRIP	0.153963704	0.387855309
HMOX2	0.153737294	0.604895846
USP32	0.153638195	0.466607713
SRRM1	0.153158493	0.426578875
FKBP10	0.152907585	0.301080201
C11orf54	0.152880007	0.506834312
CTSZ	0.152854018	0.725364877
FUT8	0.152146474	0.391870248
CDC23	0.152037218	0.604804986
LRCH1	0.151859285	0.970912372
WLS	0.151828546	0.715675033
RBM27	0.151440201	0.3631922
TRIM16;TRIM16L	0.151240967	0.790324562
MED14	0.15083982	0.729168473
CLPB	0.150704293	0.402837531
CNOT2	0.150624436	0.699439145
PMM2	0.150325503	0.639192918
C18orf25	0.149541009	0.633864066
UBE2E3;UBE2E2;UBE2E1	0.149493606	0.629643311
KATNAL2	0.149347222	0.35611712
APEH	0.149301296	0.354786463
CWC27	0.148644637	0.696220038
DNAJC10	0.148456785	0.515607832
NQO1	0.148347944	0.617754221
PRDX5	0.147905949	0.451472079
HRNR	0.147569817	0.814843864
LZTFL1	0.14756745	0.648555048
ATP6V1F	0.147050819	0.584085535
DNMBP	0.146994739	0.267563051
PFDN2	0.146784294	0.539312205
MRPL17	0.146415745	0.512058901
PRKAR2A	0.146377323	0.491194073
INPP5K	0.146329887	0.71321923
HDGFRP3	0.146320967	0.451946509
CHTOP	0.146226045	0.633847106
BLOC1S4	0.146114775	0.704420202
GTF2F1	0.145665655	0.40370754
CARM1	0.14558842	0.58698212
MYOF	0.145366534	0.29873764
ALDH3A2	0.14527053	0.533405809
CALCOCO2	0.145127757	0.318832637
TMSB4X	0.144754886	0.68618125
SRP19	0.144411208	0.566438783
HEATR6	0.144238691	0.489545983
PUM1	0.143764703	0.385616611
MT-ATP6	0.143640579	0.265010504
ALDH9A1	0.143565219	0.4513634
RNPS1	0.143452968	0.771497064
VPS45	0.143438079	0.294525381
CSRP1	0.143429133	0.597787437
ITGA7	0.143115471	0.776794819
ZYG11B	0.142463109	0.464501769
PSMB4	0.142442335	0.624745072
POLA1	0.142351482	0.801423446
RRAGC;RRAGD	0.142181593	0.524636968
COG6	0.142006546	0.756970574
SNCA	0.141973411	0.724229806
PAXBP1	0.141532031	0.737687366
PPP1R2;PPP1R2P3	0.141239816	0.369018909
MAGED2	0.140719486	0.716099564
GSPT2	0.14041509	0.355756199
STX12	0.140348323	0.494323762
ANTXR2	0.140284805	0.622231481
RBBP9	0.140216239	0.514458243
EXOSC6	0.140036373	0.630785156
GNS	0.139763842	0.557270592
TAF7	0.139492859	0.680626868
TTI2	0.139443391	0.629070418
BIN3	0.139400736	0.268120009
SERPINB1	0.139362255	0.710027605
RPS27L	0.139216011	0.625074494
MVP	0.139199668	0.621710321
CCT5	0.139178874	0.25765426
TAPBP	0.13916804	0.790407564
DIS3L2	0.139137592	0.303744214
TRIM56	0.13883312	0.42682859
MAVS	0.13855807	0.468668051
EIF3E	0.138544433	0.403673704
USP48	0.138536601	0.807683142
CPT1A	0.138076361	0.434052291
AAAS	0.13806042	0.537025183
GSTO1	0.137926109	0.327554456
DNAJB6;DNAJB3	0.137661346	0.747803986
NEDD4	0.137330939	0.480112239
ENOPH1	0.137189791	0.563753743
QDPR	0.137063792	0.525113021
LYPLA1	0.137061536	0.523423
RAB3GAP2	0.136986929	0.410320386
ATP5B	0.136651417	0.283175428
CD44	0.136529151	0.255777939
RAB6A	0.136280076	0.372525447
KRAS	0.136224006	0.973906005
SDAD1	0.136024031	0.39820384
TOR4A	0.135991677	0.317229531
GOPC	0.135942151	0.274595782
AP2M1	0.135593342	0.499255168
ADPRHL2	0.13544324	0.617808245
CCDC132	0.135410423	0.974061848
EXOSC10	0.13538047	0.506414098
DNM1L	0.135250955	0.267787151
NRP2	0.135122398	0.965694955
NDUFS7	0.134804249	0.355325041
CC2D1B	0.13435803	0.360568394
ENOSF1	0.134309154	0.809350067
