gene	log2FoldChange	pvalue
TMEM41B	0.548918024	0.102229642
DDHD2	0.285971789	0.102059824
SRSF1	-0.19247571	0.101878192
CHTF18	-0.432176311	0.102232616
EDC4	0.204169457	0.102645347
TOMM34	-0.342164912	0.102637375
PROCR	0.550493735	0.102883638
ACAD9	-0.275883887	0.103070275
OSGEP	0.539336197	0.103659415
FAM134C	0.243069408	0.103469054
HSPA14	-0.179391834	0.103611908
NAA15	0.149610921	0.10403629
RABEPK	-0.532280694	0.10399917
STK4	-0.354265672	0.104429274
PRDX4	0.262761767	0.104667956
FARSB	0.092504141	0.105661065
NQO2	-0.105449921	0.105470536
INPPL1	-0.226300082	0.10558489
NAT10	0.256847609	0.106064999
UBE2D2;UBE2D3	0.200646385	0.106151931
DDX24	0.198547757	0.10594192
SKIV2L	-0.146074856	0.106745384
PRUNE	-0.473337429	0.106871608
COL8A1	0.491607805	0.107908821
ASCC2	0.258860693	0.107426055
NUP155	-0.158220266	0.107962825
TPT1	-0.199458086	0.107217092
MAPRE1	-0.206594609	0.107336675
COMMD10	-0.325241568	0.107588013
TCF12	-0.709251773	0.107805887
GLOD4	0.040625295	0.10828666
UBQLN4	-0.253971196	0.108288375
TERF2IP	-0.349075959	0.108523906
FAM208A	-0.339064692	0.108701966
PAM16	-0.251635781	0.10969699
BCORL1	-0.385749023	0.109878748
TRAPPC5	0.346690231	0.110158976
RRP12	0.161501758	0.110375712
CRYZL1	0.372864863	0.111969063
ATP1B3	0.097634531	0.112212766
CCS	0.381050155	0.112357596
DDX28	0.397794739	0.11259814
NAGLU	0.582946667	0.114319969
RING1	0.478488616	0.114208364
BLVRA	0.216277368	0.113654305
GDI2	0.170585145	0.113564195
TXNRD1	0.146085587	0.11421209
PGAM1	0.109926602	0.11418878
AACS	-0.22961518	0.113830465
TANC1	-0.338778484	0.113647256
AMOTL2	0.503037585	0.115060901
CNN3	-0.174781942	0.114992514
SFXN1	-0.126552648	0.115648925
ATP6V0C	1.610935901	0.116444702
PRRC1	0.309556022	0.116483454
RND3	-0.612472962	0.116201988
DAPK3	-0.149508038	0.116645374
UGDH	0.24087364	0.116809657
BCAT1	-0.50542527	0.116976971
LYPLAL1	0.296504031	0.117265439
ANKHD1	-0.196741408	0.117509898
PSMG4	0.525016644	0.118633643
TRIM3	0.319190959	0.118552641
RBM14	-0.173157331	0.118367124
SAMHD1	-0.26585337	0.117754318
HEATR5B	-0.342223201	0.11811866
FAM120C	-0.373504034	0.118571992
CD99	-0.396965515	0.118455251
RILPL1	-0.44686188	0.11868613
NDUFC2	-0.115459649	0.119786798
HSP90AA1	0.295976469	0.120310757
DAK	0.270953093	0.121019623
RRM2	-0.277739608	0.121013898
SAP18	0.297540581	0.121761401
MTMR1	-0.272373206	0.12241345
LPXN	0.733730064	0.122914452
MAPRE2	-0.451120736	0.123181004
ATP5F1	0.225968819	0.124318633
RNPEP	0.122405291	0.124199906
KPNA3	-0.196650502	0.124239667
ROCK2	-0.202774102	0.12351543
CUL4B	-0.233966217	0.124401397
ACOT2;ACOT1	-0.261925302	0.124080128
DIAPH3	-0.338967306	0.123810819
CHMP5	-0.654135887	0.123727516
NSMCE1	0.364029653	0.124954784
MRPL28	-0.25192348	0.125545082
POLR2J;POLR2J3;POLR2J2	-0.426256441	0.125510137
NOC2L	-0.232850716	0.126365696
ATP5O	0.28630341	0.12654094
CNRIP1	0.323932884	0.127297751
TTLL12	0.259369747	0.127647286
IMPDH1	-0.389128855	0.127857784
SLC30A1	0.602365565	0.128806168
GNL2	0.561271253	0.128677574
PPME1	0.255593196	0.12866252
FKRP	0.141833787	0.128830174
FADS2	-0.5945677	0.12826474
STRIP1	-1.031219895	0.128663844
MTMR6	0.315501299	0.129060979
MXRA8	0.342034338	0.129487434
VWA7	0.51345656	0.130976125
COX7C	-0.506157526	0.131564285
MOB1A;MOB1B	-0.283153911	0.131871492
DOK1	0.635525828	0.132301898
RABGAP1	0.207793483	0.13272286
ELOVL1	0.398815949	0.133140732
POP4	-0.220936264	0.13312965
GYG1	0.317414519	0.133517963
VPS28	0.145962576	0.133791978
LARS	-0.138287164	0.133686731
HELLS	-0.367738418	0.133808445
N6AMT1	0.505692895	0.134061684
PSMD5	-0.238414141	0.13456605
RARS2	-0.410724901	0.13475658
HSD17B12	0.354052245	0.135431478
PFDN5	0.350235958	0.135218277
CTTN	-0.180134554	0.135559246
TPD52L1	-0.498372774	0.135490568
ACTR10	0.392738992	0.137181161
ARF4	0.320787838	0.13689698
MLST8	0.216299038	0.13705749
TBCB	0.101669241	0.137192153
RPL5	-0.1516807	0.136639072
CIAPIN1	-0.216178702	0.137165899
POLR1C	-0.235767092	0.136721049
HOMER3	-0.240210122	0.136022395
PLCD3	-0.61104009	0.13655233
RFC2	-0.363447746	0.137397129
DDX18	0.3475968	0.138239202
TMEM261	0.125960075	0.138186384
EIF3L	-0.182711496	0.137912767
FOXP1	-0.461615695	0.137891231
PIK3C2A	-0.971245879	0.138129639
TTN	-0.369999295	0.138662487
VCAN	0.607269624	0.138842657
HIST2H2AC;HIST2H2AA3	1.003958075	0.14024642
UBLCP1	0.263373833	0.140556302
MRPL47	0.171256696	0.140622308
AHSA1	0.15238151	0.139934081
SRPR	-0.160306648	0.140735728
NCSTN	-0.175429414	0.139674669
GTF2B	-0.281177923	0.140040373
SNX18	-0.329070974	0.14052116
ATF1;CREB1	-0.423787349	0.139987675
AHNAK2	0.274427386	0.142133444
FLAD1	0.192262208	0.142409797
SET;SETSIP	-0.156970373	0.142038296
NGLY1	-0.427456433	0.142073263
ZNF428	-0.430030986	0.142323414
CLN3	0.573409985	0.143648612
STRN3	0.319038264	0.143445654
WDR61	0.140865151	0.143310594
MYH10	-0.254700007	0.14352033
CAPRIN1	-0.165833473	0.143971148
ZWILCH	-0.304542503	0.14396005
PDCD4	1.000986681	0.144676707
HMGA1	-0.233947671	0.144418374
ZSWIM8	-0.304296815	0.144562544
ARHGEF1	0.195178076	0.145297517
FAM3C	-0.425074834	0.145510607
EIF2AK2	0.145650769	0.145705695
CENPB	0.407189517	0.146534489
MRPS25	0.364628868	0.146402807
APPL2	-0.138819263	0.146561472
KDELC1	0.25179296	0.146973276
PARP4	0.166206731	0.146907649
DPH5	-0.34546835	0.147388338
BOP1	0.608422767	0.147768127
ERBB2IP	0.226947738	0.147906371
PXK	0.593870679	0.148218376
PKN1	0.970508264	0.149095371
TGFBI	0.755369682	0.150051826
PPP1R12C	0.466378652	0.150791387
DAD1	0.409270623	0.150063962
PRPF39	0.284339561	0.150312168
PRKAA1	0.279743246	0.150739863
GTF2F2	0.141207337	0.149324878
PGD	0.099258541	0.150638329
EIF3J	-0.133354708	0.150552407
IPO8	-0.207542088	0.150717057
VN1R5	-0.269067163	0.150845477
NOMO1	-0.571524285	0.150119633
DKK3	-0.647944987	0.150670759
CREBBP;EP300	0.196328855	0.151260834
PTK7	-0.388501327	0.151519803
STBD1	0.354955385	0.151730609
WNT5B	0.546704859	0.152401603
MTG1	0.204264264	0.152354069
MET	-0.1978524	0.152389582
SMARCD2	-0.360705617	0.152057638
HACD3	0.293984762	0.15280277
RTFDC1	-0.272972454	0.154285559
GTF2H1	-0.457711628	0.154465402
C12orf10	0.126530329	0.155148639
YWHAG	-0.284105358	0.155078608
CORO7	-0.421328661	0.155105014
SOGA1	0.401657596	0.156170555
ITGA11	0.329976811	0.157819817
CDC16	0.318605882	0.157585409
RRP1B	0.254487395	0.156978655
RNF214	0.212493059	0.157705369
MTDH	0.203379152	0.157671246
AP1G1	0.184410298	0.157300548
MED20	0.14502376	0.156433714
SLC25A13	0.114995734	0.157080727
TMA7	-0.198381208	0.157856779
DDX5	-0.276310185	0.157833725
SMCHD1	-0.32342514	0.15796678
PFDN1	-0.377240357	0.155460055
NUDT16	-0.422547021	0.157902613
ITGA4	-0.47899445	0.156428623
MRPL20	-0.481844632	0.157376096
CDC42BPA	-0.79867384	0.157118387
BCCIP	-0.31047414	0.158678531
TNFRSF12A	0.594909641	0.159583416
THOP1	0.081891279	0.159804231
TMPO	-0.262335291	0.159687765
PM20D2	-0.290901892	0.160032377
EMC2	0.480992971	0.160309825
YKT6	0.400909506	0.16057445
DHX38	0.686968453	0.160880394
CC2D1A	0.524216128	0.16134449
PPAT	0.315745659	0.161296538
TLN1	0.048175452	0.161369067
LRRC8A	-0.233531328	0.16143712
ACTN1	-0.052080471	0.162751743
TXLNG	-0.437047339	0.163065719
ACTR2	0.108418656	0.163490496
TAOK2	0.339980706	0.16517544
NHP2	-0.275278038	0.16538102
RUNX2	0.660636914	0.165728101
RNF181	0.142933172	0.16591913
PERP	-0.274804815	0.16578304
PACSIN2	-0.115198517	0.166449592
HINT3	-0.584724554	0.166322966
FUCA1	0.409502449	0.166843017
SZRD1	-0.384623644	0.166987093
ITGB1	-0.132044333	0.16725725
CCNB2	0.092129477	0.167715223
HSPA2	0.666098971	0.168943841
CYP2U1	0.630611436	0.169038514
STUB1	0.249677585	0.169124097
TUBA1A	0.586926736	0.169522989
COX6C	0.272735758	0.169773568
IMPAD1	0.137143182	0.17018523
ADSL	0.098889255	0.170608212
SDHA	0.189448845	0.171437772
RPF2	0.182651757	0.171347413
WASF2	-0.201019549	0.171916347
HS2ST1	-0.558175626	0.172013018
ITGB6	0.235545546	0.17239046
SNRPB2	-0.201816204	0.172331474
XPO7	-0.209148422	0.172627101
JMJD6	-0.1489111	0.173139754
HSD17B4	0.231665346	0.173724778
FTSJ3	0.220684271	0.173949207
EXOC4	0.186027218	0.173588251
FAHD2A;FAHD2B	-0.146696907	0.174056153
SSU72	-0.255956816	0.174141696
SEC23IP	-0.117175753	0.175875882
ABHD10	-0.152327528	0.175859543
PSMB3	0.210884096	0.176557348
SUPT6H	-0.203445218	0.176393426
IARS2	0.175516062	0.176787232
ERCC6L	-0.243609042	0.177976525
GIPC2	0.31697782	0.178989874
HAUS3	-0.162439626	0.178674196
GHITM	-0.278926291	0.178957521
ZC3H7A	-0.291435641	0.178624477
NUF2	-0.427771086	0.17841278
CTSC	0.346179348	0.179249677
TRIM23	0.158140864	0.179383596
DNPEP	0.095204343	0.180417146
TAGLN	-0.381521977	0.180681001
CAPN6	0.131576075	0.181236216
IST1	0.167470748	0.181627839
EPS15	0.252895608	0.182190128
CTNNA1	-0.107678593	0.182264665
RPL12	-0.159300241	0.182189231
EIF2S1	0.136812027	0.182555672
DNPH1	0.358891284	0.184187877
IGF2BP1	0.335617865	0.183456473
GPR107	0.26976232	0.184495074
MRPL4	0.228644144	0.184164415
CASP6	0.226162581	0.184510107
DTX3L	-0.23262512	0.184377474
MYO1C	-0.264078675	0.1844105
KLC2	-0.265456068	0.18359629
TMEM106B	-0.294882441	0.182931615
CHUK	-0.543423062	0.183790143
UBR5	-0.767086858	0.184751931
ERCC4	1.018590615	0.184967553
NOL7	0.376644033	0.18511274
MINOS1	0.875547233	0.185833978
CETN2	0.526728977	0.185933866
SPARC	0.479128354	0.186524467
GARS	0.287058762	0.18615166
CIRBP	0.162415822	0.186778902
CTBP2	-0.225376682	0.186495654
DICER1	-0.382471117	0.185932923
BCKDHB	-0.386796311	0.186764658
ABRACL	0.536457693	0.187675567
GAK	0.275076295	0.187345373
ACAT2	-0.216582972	0.187633059
CFL1	-0.225832828	0.187673542
ARIH1	-0.493218569	0.188127473
ATXN10	0.08794346	0.188457306
DIS3	-0.237282881	0.188558397
TTL	0.563040734	0.19165979
LACTB	0.469335496	0.193536774
POMP	0.466141118	0.190743689
TRAPPC3	0.331344872	0.194133398
RBPMS	0.271366032	0.193326533
ARHGEF18	0.2545895	0.194503875
MRPS18B	0.235475825	0.191123584
AP3D1	0.209767085	0.194114448
TMCO1	0.183476161	0.192930544
RPL10A	0.110116534	0.194091387
FIBP	-0.135894247	0.194213227
ADSS	-0.154268455	0.193515378
WAC	-0.195690186	0.19051787
CTR9	-0.225656354	0.194620726
CPSF3	-0.243123221	0.191011292
NDUFV2	-0.245594145	0.18993736
UBE2H	-0.2656423	0.193317973
DEGS1	-0.271807838	0.194425615
NCK1	-0.303381003	0.193969943
RANBP9	-0.303551522	0.191679979
KIF4A	-0.316791211	0.193053787
MRPL42	-0.320922963	0.193114653
SRSF5	-0.345170903	0.192073952
HYI	-0.35736106	0.19037429
UEVLD	-0.439541934	0.190027912
WDHD1	-0.465353473	0.191832195
DVL3	-0.480105132	0.193181154
GALNT1	-0.490082484	0.194274096
TM4SF1	-0.548707202	0.190466435
MYBBP1A	0.216667393	0.195549274
CCT3	0.213524852	0.195442858
SCAF4	-0.269221965	0.19601345
RPS15A	0.23332578	0.196483691
PSMB7	0.198632589	0.196929235
USP4	0.505986259	0.197141119
CAPZB	0.144574167	0.197487279
ARPC4	0.131142579	0.197440256
CASC4	0.304213072	0.197895593
COPS7A	0.266449284	0.198678425
TRIM4	0.260541775	0.198722085
HBS1L	-0.062092668	0.197942188
MRPL50	-0.154599916	0.198221097
IDH2	-0.238978123	0.198832066
CIT	-0.59424381	0.198564385
WWTR1	0.443539844	0.199142822
SH3BGRL	-0.152616908	0.199409961
PPIL3	0.473737683	0.200966772
TUBB3	0.236655361	0.200352903
PNPT1	0.223006958	0.200540639
STARD13	0.181977438	0.20033149
STT3A	0.181358434	0.201326432
ECH1	-0.071412879	0.200853109
RPS20	-0.145328395	0.200871573
UTP18	-0.317536478	0.201322528
AURKA	-0.339520993	0.199909992
DDAH2	-0.556452617	0.199861215
PYGL	0.232956046	0.202451904
DYNC1H1	0.160463009	0.202985826
MTPN	0.110382308	0.203208589
RER1	0.070569173	0.202164152
CCDC109B	-0.301433442	0.202946081
MSTO1	-0.362639669	0.202773831
HDAC1	-0.461538744	0.203157285
CYP51A1	0.260846169	0.203608324
CKAP5	0.134102421	0.203486196
NDUFA8	-0.190199965	0.203788625
TACC2	0.094273358	0.204547065
CTNND1	-0.148743363	0.204938021
SMG8	-0.384901015	0.204926805
PDCD6	0.167816863	0.205940797
NUP43	-0.323258588	0.206148182
PPFIA1	-0.158178952	0.206717972
MPP5	-0.302854145	0.206687403
SDC1	-0.475458212	0.206792902
PLBD2	0.359572277	0.207822702
EIF3I	0.115465152	0.207562467
RRBP1	-0.079084433	0.207993476
SRRT	-0.162926849	0.208139327
GNB1	-0.22313476	0.208090362
UNG	-0.36270321	0.207937906
C6orf203	0.573083793	0.208880827
ARCN1	-0.098289716	0.208753827
GSTP1	0.140497135	0.20958165
KLHDC4	-0.437310629	0.209836715
C9orf89	0.340637781	0.210623602
CDK2	-0.22938646	0.210657058
PLXNB2	-0.1435307	0.211082382
LRP12	-0.221870899	0.211047488
MIA3	0.220185216	0.211779497
NFIC	-0.313158583	0.211812717
PCYT1A	-0.221862703	0.213416298
GLYR1	0.277612663	0.213777557
POGZ	0.517060217	0.215317278
LYN	0.471160077	0.215240792
DCXR	0.339807337	0.215503147
GET4	0.307926871	0.215941444
ITCH	0.222238035	0.215654827
PURA	0.207759549	0.214261133
CTNNA2	-0.105428894	0.215677474
EIF1	-0.255426028	0.214858337
MLPH	-0.280609813	0.216016258
ANKRD39	-0.340152789	0.215146415
CALCA	-0.490878273	0.215098639
RRAS	0.507141231	0.216543227
MTCH1	0.37163015	0.218628514
BAX	0.346292635	0.219113519
ATP2B4	0.263010113	0.217513728
RTN1	0.260649704	0.218771746
FLNB	0.222603584	0.219321298
CNPY2	0.210905675	0.217917282
LNPEP	0.202323425	0.217704299
ATP13A1	0.153925968	0.218503527
COASY	0.150591398	0.216769733
FERMT2	0.065567287	0.218878198
ECHS1	-0.134246151	0.219323467
TRIP10	-0.219112683	0.217269358
TGOLN2	-0.26949099	0.218228264
STARD3	-0.292344779	0.219107977
LUC7L2	-0.329193196	0.218709935
TK1	-0.503221753	0.21679277
SNW1	-0.198515772	0.219556451
C20orf27	-0.14601868	0.219793405
DIP2A;DIP2C	0.243204978	0.220551435
LAMTOR5	0.162053358	0.221111013
H2AFY	0.144282583	0.220519568
NPTN	-0.070399934	0.220362513
SMC4	-0.238254281	0.220928088
PMS1	-0.339256006	0.220862607
SNF8	0.329850489	0.222736175
RIN1	0.228734561	0.221673836
RPS16	-0.088893465	0.222901754
SYPL1	-0.147473157	0.22305125
ZHX3	-0.172386347	0.221876043
RBBP4	-0.192421712	0.222020149
RABEP1	-0.202655509	0.222325761
LOXL2	-0.23793614	0.222759102
GTF3C3	-0.370397903	0.221498795
PWP2	-0.497214974	0.222327465
RPS15	0.247504541	0.223453685
STX8	0.454214978	0.224178214
RPL23	-0.119899394	0.224255074
XRN1	-0.125994661	0.223962073
PRKAR1A	-0.135388152	0.224389428
PSMG3	0.286005091	0.22463905
GCN1L1	0.11498668	0.225037028
NDST1;NDST4;NDST3	0.390417407	0.225472148
IGF2BP3	0.305920042	0.22612954
TMPPE	0.235321375	0.226035803
NUP35	-0.199167448	0.22606518
ILK	-0.142586133	0.226588321
EIF4G3	0.279036317	0.226966045
MOCS2	0.250324546	0.228357047
ILVBL	0.240248116	0.227844293
AKAP9	0.233947149	0.227442936
ENO2	0.141650691	0.227469191
NOC3L	0.128451116	0.228041954
POGLUT1	-0.260542824	0.227837787
C5orf42	-0.375534807	0.227344592
GPSM1	-0.698121545	0.228232362
PIGS	0.223769578	0.228821053
CHD1L	0.746141669	0.229101452
AURKB	-0.301328218	0.229292656
MMP14	-0.101151372	0.230404075
OARD1	-0.312840454	0.230133902
NADK2	-0.418330856	0.230455681
DNAJC8	-0.254018515	0.23067679
ANXA4	0.216730179	0.231275963
TBC1D5	-1.025284933	0.231130645
ACAA1	0.312793412	0.231787832
SYNJ2	0.170640713	0.232285545
MTX1	-0.074060856	0.23226471
BCAT2	-0.34503228	0.232220455
PHC2	-0.579999567	0.231658642
VARS	0.119040569	0.232612916
INPP4B	0.849540853	0.233457794
ECT2	-0.414936093	0.233383117
TRIM21	-0.253940119	0.233929663
HPS3	-0.358863858	0.233960818
CCPG1	-0.58822678	0.234049529
CTDP1	0.271667579	0.234270597
LPP	-0.10245075	0.234684412
ZNF346	-0.30623046	0.23507491
TLK1;TLK2	-0.477615603	0.235523955
ABR	0.163791881	0.236662642
ABCD3	0.137509564	0.236557538
TRA2A	0.121923195	0.236448713
SF1	-0.079226072	0.236833988
CSNK2A1;CSNK2A3	-0.057648269	0.23719215
MUL1	-0.432073072	0.237472043
NEDD8	0.704244473	0.238364016
RPS2	0.143668009	0.238343592
MINPP1	-0.23601147	0.238451615
BCL10	-0.361130894	0.238021285
AIDA	-0.598534477	0.237967203
ACAT1	-0.143983144	0.239753009
STAT2	-0.160968939	0.239573139
MAP1S	0.196829977	0.240521699
COLGALT1	-0.130090879	0.240366273
TNS3	0.307960026	0.241516826
DENR	0.259544059	0.24165078
FUBP3	-0.122167344	0.241497071
RAI14	-0.147839136	0.241574778
DCBLD1	-0.205685193	0.241784429
CASP2	-0.298319252	0.241729686
FAM129B	-0.195305709	0.242178235
CDK5RAP3	0.171665112	0.242756036
SETD7	-0.220532234	0.243013427
NT5E	0.415077373	0.243439495
RUFY2	0.158023317	0.243285085
LIG4	0.469315679	0.244616444
ADD3	0.236407146	0.244801955
ATP6AP2	0.069550597	0.243854526
PSMD12	0.069154548	0.243750932
TIGAR	-0.214100015	0.244447612
DHFR	-0.428197938	0.244798194
GNPTG	-0.603012244	0.244311869
SEH1L	0.322171424	0.245583499
ANAPC1	-0.311017259	0.245821818
RCOR1;RCOR3	-0.31178156	0.24565852
ADRM1	0.472243977	0.246693358
PSMD3	0.144875655	0.24725831
USP7	0.134864995	0.246621019
GFPT2	-0.317323326	0.247379786
SCAF8	-0.354065744	0.2468885
ADAM10	-0.406528901	0.24706031
CLPX	-0.168333007	0.247925003
HDAC3	-0.427674443	0.248097311
C10orf88	0.453002697	0.24879107
REEP3	0.402341929	0.248674371
SRP68	-0.168153124	0.248774197
RAB18	-0.18710876	0.249079639
C14orf159	0.314811977	0.250458644
TSFM	0.310378739	0.250162257
MAGOH;MAGOHB	0.149189084	0.250127837
PSPC1	-0.187610653	0.250314181
SPTLC2	-0.327713929	0.250197865
SMARCA1	-0.540495563	0.250518041
ISOC2	0.534161611	0.250903363
AARSD1	-0.200852696	0.251183127
CSRP2	-0.316065027	0.251194756
KCMF1	0.442511985	0.251448562
10-Sep	-0.124079894	0.25221459
ALDH6A1	-0.166259465	0.252349052
ZC3H4	-0.207666524	0.252584339
PKN2	-0.20771014	0.252912851
CCDC80	2.574857465	0.381944388
KRT16	2.379706221	0.491413044
IWS1	2.317199835	0.410987765
HSF1	2.087062356	0.475332299
MEF2D	2.029039938	0.475180013
BCL2L1	1.975018598	0.465118001
PHACTR2	1.965725611	0.475396025
MBLAC2	1.908688007	0.527719873
PLAT	1.882814269	0.505972009
SLC27A1	1.812331484	0.663441373
TXNIP	1.801499042	0.533937359
PUS1	1.748722062	0.551307872
AKAP1	1.735443677	0.524671028
ABCD1	1.705760775	0.553219698
QTRT1	1.704335745	0.541768613
HABP4	1.683826336	0.557709277
KRT14	1.679451967	0.270856806
KHDRBS3	1.643378748	0.572762545
LIMD2	1.629359976	0.580988251
ABHD4	1.608489141	0.556626037
SNX7	1.603274274	0.584987877
RNF2	1.57711273	0.582016295
DLG3	1.553761384	0.57324331
SQLE	1.513432719	0.581028987
SIPA1	1.481123349	0.614187263
HSDL1	1.477684789	0.605923216
POLRMT	1.472167805	0.61020617
C4B;C4A	1.428152111	0.637752726
EXOSC2	1.420045591	0.632406762
CCDC25	1.417711409	0.635058421
PDZD8	1.402435807	0.626518054
PCBD2	1.398874378	0.627063177
COL12A1	1.382917977	0.263671629
DAGLB	1.380888434	0.616770784
COX11	1.376689605	0.634022027
TRIM5	1.354199192	0.635173182
RIPK2	1.352460186	0.639611619
OSGEPL1	1.331873762	0.749116016
LGALS3BP	1.312395804	0.642192121
CPQ	1.295091217	0.65508734
FAM134A	1.285776659	0.665799856
CMTM6	1.274241098	0.759630701
TRAPPC12	1.267752123	0.675782439
GFER	1.266309011	0.664255515
SDHAF2	1.264893328	0.669963447
DKK1	1.263682078	0.675038579
RBM15B	1.247508092	0.76452214
TMEM222	1.221187551	0.671836534
WDR13	1.218392801	0.669994576
HAUS4	1.216667451	0.675464956
PBRM1	1.215369604	0.689885911
NME3	1.212914406	0.770867164
RDH14	1.212865295	0.685397217
CHPF2	1.203633631	0.67695063
SENP3	1.195326707	0.685340415
GPR89B;GPR89A	1.193365849	0.677078784
B4GALNT1	1.192560297	0.662938073
DIXDC1	1.185387377	0.775926676
MGRN1	1.172147925	0.682788582
ZZEF1	1.171293546	0.690318923
DGKK	1.159936077	0.78061301
OSBPL1A	1.14256862	0.70340691
COMMD6	1.138756151	0.784520083
NUS1	1.136683979	0.68761987
RNF14	1.135791195	0.695456498
INTS10	1.135310996	0.690044105
ARMC8	1.133221291	0.697174116
NCBP2	1.130188531	0.693438875
RAB43	1.129364376	0.701606143
MTSS1L	1.122721273	0.689504759
NID2	1.122615075	0.787499402
RNASEH2B	1.119595377	0.713414054
PIP4K2A	1.117759655	0.707227319
PAM	1.117446938	0.788455293
LRCH4	1.116904434	0.692156125
IGF2	1.111782335	0.711389943
SLC35B2	1.110285225	0.705823168
SRGAP2	1.105096271	0.710973139
BTN2A1	1.103366943	0.698878959
PGPEP1	1.097344486	0.792172674
PLGRKT	1.087316101	0.712456575
ACSS2	1.075748078	0.796171236
SLC27A4	1.074942495	0.718448644
LRP10	1.074299171	0.708055268
SMPD1	1.072318454	0.717761278
FDX1L	1.072118894	0.71923076
SMAP2	1.071444643	0.705855015
NVL	1.071296183	0.703200796
KLHL22	1.068011575	0.719314949
GNA12	1.067032232	0.797787419
C11orf98	1.063376018	0.798464267
PCDHGA11	1.062894178	0.798554651
IP6K1	1.062700021	0.723371424
PCDHGC3	1.062431166	0.798639808
DNASE1L1	1.061441457	0.721724401
C3	1.04874367	0.801178752
PMM1	1.047436012	0.720271787
COIL	1.047417386	0.715869004
MYD88	1.029505177	0.728882792
FAM20B	1.028965747	0.727417563
ARHGAP22	1.027678787	0.805091601
ZMYM2	1.027181824	0.71289687
ATP6V0A2	1.026057904	0.728629593
TPD52	1.025040182	0.805581532
AKAP8L	1.023594868	0.805850571
TNS2	1.019841047	0.727828032
LTBP1	1.013150641	0.731427096
POT1	1.012270122	0.722369991
SYNJ1	1.011171402	0.719002913
RABEP2	0.986782432	0.746508386
COMMD7	0.986093113	0.732416561
DSCR3	0.980197763	0.745161303
SIRT5	0.978825297	0.814185913
RFX5	0.978623136	0.727046555
AK4	0.973839775	0.750231858
GGPS1	0.968435021	0.746420984
TSC22D2	0.959167083	0.752285989
CAV2	0.952701834	0.752916676
VAMP5	0.949268553	0.740287389
NIPSNAP3A	0.946370033	0.761869605
GGT7	0.938283227	0.740781697
COG3	0.93241005	0.752698556
PLXNA1	0.929492232	0.74272465
MCCC1	0.919042962	0.825343127
GLA	0.916534661	0.764194305
SUOX	0.899551685	0.828989467
TRAFD1	0.887119255	0.764109914
TBC1D8B	0.886617189	0.759864689
C15orf40	0.886461504	0.758322031
SMDT1	0.869175112	0.834680079
EHMT1	0.866439801	0.835192781
BOD1	0.864818943	0.8354961
C12orf43	0.864570774	0.835543669
TSSC4	0.858061933	0.764358672
WDR48	0.856225221	0.837107471
E2F3	0.855690134	0.83721136
ZNF267	0.855603434	0.795132339
ACAD11	0.853749978	0.837571899
HDAC6	0.853455026	0.837627522
CDK13	0.84959841	0.838351287
FUT11	0.848502041	0.838556431
AGPAT9	0.846999934	0.768850796
LRRC1	0.840322602	0.771292397
TP53BP2	0.83309054	0.78250953
TRMT2A	0.81947981	0.780069178
LOXL1	0.810614565	0.845673025
MFSD10	0.807713996	0.781370001
RGPD3;RGPD4	0.805359205	0.846661148
CDC34	0.80261729	0.847176473
SGSH	0.794398279	0.84872309
C16orf58	0.794141284	0.789871767
CLASP2	0.79303192	0.789796474
HHIP	0.789643869	0.345243489
CYB561D2	0.789259092	0.849689309
VPS13A	0.78691621	0.789727098
C6orf136	0.783082054	0.774787733
FAM207A	0.780979507	0.790667505
KIF13B	0.778559192	0.851703507
ACTC1;ACTA1	0.77839013	0.813617689
EPB41L1	0.77574561	0.79392248
MACROD1	0.773510866	0.798244085
CCDC51	0.770890864	0.795911223
SEZ6L2	0.761960599	0.790012439
MAPK7	0.759600352	0.855273881
ATP1A4	0.75701162	0.855762116
GSTZ1	0.754455373	0.802196012
DIP2B	0.752399889	0.801356019
HDDC3	0.751247275	0.856848583
FAP	0.747697771	0.297897782
CAND2	0.742524276	0.858493181
MAD1L1	0.742515431	0.34739708
RPS19BP1	0.740359284	0.858902398
RNMT	0.731717362	0.808693316
MCFD2	0.730505091	0.267772327
HS3ST6	0.728906886	0.366986071
GORAB	0.706840479	0.809414654
NES	0.705730266	0.820660596
C6orf89	0.70465691	0.865639964
TNC	0.698685444	0.411104202
SLC8A1	0.6961925	0.814291642
MNAT1	0.694791186	0.267200893
RBMS2	0.694529075	0.826438493
SPG7	0.688408331	0.815991572
MCRS1	0.687486274	0.816575988
RC3H2	0.682420657	0.813510959
PPP1R21	0.67205112	0.822535946
LRRC17	0.669246305	0.287340556
NT5C3B	0.66773369	0.872617584
MT1F	0.661239213	0.328145691
LZTR1	0.657080788	0.822141909
TMEM256	0.656212031	0.462159525
RUFY3	0.650137259	0.875948217
EIF5A2	0.64787023	0.876376378
PDDC1	0.647859638	0.833316356
HIP1R	0.647102465	0.827146898
DPH2	0.645220715	0.876877863
BET1L	0.642223463	0.877445103
EXOSC8	0.641338997	0.877612771
QRICH1	0.633441686	0.260443414
LEPREL4	0.628310271	0.880079452
LAGE3	0.619435386	0.881760975
IFI35	0.618965567	0.881850014
POSTN	0.614769576	0.534704744
VPS33A	0.613744036	0.450216319
NGDN	0.613014939	0.839727772
FOXK2	0.611402485	0.308498451
EIF1B	0.607489827	0.835742074
