ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0034614	cellular response to reactive oxygen species	64/4813	152/18614	8.89E-06	4.04E+00	6.66E-05	PDK2/SIGMAR1/MAPK3/AIFM1/STK26/AXL/CCS/FOXP1/PRKAA1/MET/CHUK/ECT2/DHFR/HSF1/HDAC6/MAPK7/TXN/SIRT1/TREX1/IMPACT/RELA/SRC/NQO1/PRDX5/HDAC2/PYCR1/STAT6/PRDX2/PRDX3/TRAP1/RIPK1/PDCD10/APEX1/PXN/PCNA/PAWR/AKT1/RPS3/MAPK1/EGFR/ROMO1/PRDX1/PARK7/PTPRK/SOD2/PPIF/CAT/CDK1/MMP2/ANXA1/DDR2/SOD1/AKR1C3/TPM1/PKD2/FXN/EZH2/FER/BNIP3/ZNF277/BECN1/SPHK1/JUN/PRKCD	64
BP	GO:0030010	establishment of cell polarity	65/4813	155/18614	8.90E-06	4.04E+00	6.66E-05	SPDL1/GPSM2/PHLDB2/ROCK1/PAFAH1B1/MYH9/MAPRE1/AMOTL2/HSP90AA1/ROCK2/PTK7/CORO7/ITGB1/GPSM1/SIPA1/RUFY3/PTK2/PARD3/GSN/SNX27/ARF6/SIPA1L3/CLASP1/GJA1/FRMD4A/FLOT2/DYNLT1/CRKL/GBF1/SCRIB/DOCK7/RAB10/ZW10/HSP90AB1/CRK/JAM3/PRKCI/MAP1B/MARK2/MSN/RAP1B/RHOA/GSK3B/NSFL1C/LLGL1/MAP4/WNT5A/DCTN1/NUMA1/FSCN1/ARFGEF1/GOLPH3/CDC42/MYO18A/SH3BP1/PLK1/SPAG5/RICTOR/MAD2L1/NDC80/KIF20B/HTT/FAT1/KANK1/NDE1	65
BP	GO:0032272	negative regulation of protein polymerization	39/4813	80/18614	8.91E-06	4.04E+00	6.66E-05	ADD1/MAPRE1/CAPZB/MTPN/ADD3/HIP1R/MAP2/GSN/TMSB10/TMSB4X/SNCA/VDAC2/SVIL/CAPZA1/SPTBN4/SPTBN1/ARHGEF7/RDX/SPTAN1/TWF1/TWF2/PFN1/TRIOBP/FLII/FKBP4/PFN2/TBCD/MYADM/EPS8/ARFGEF1/CAPZA2/STMN2/SSH1/STMN1/TMOD3/SPTBN2/LMOD1/KANK1/PRKCD	39
BP	GO:1901799	negative regulation of proteasomal protein catabolic process	28/4813	51/18614	9.57E-06	4.01E+00	7.14E-05	DDRGK1/F8A1/USP14/WAC/USP7/N4BP1/UCHL5/SDCBP/BAG6/HSP90AB1/PSMF1/MAP1A/RPL11/SGTA/GIPC1/PARK7/USP9X/EIF3H/OGT/UBXN1/PBK/SMARCC1/CCAR2/ALAD/SVIP/USP25/RYBP/BAG5	28
BP	GO:0033120	positive regulation of RNA splicing	26/4813	46/18614	9.80E-06	4.00E+00	7.29E-05	CIRBP/SRSF5/SNW1/TRA2A/HABP4/CLNS1A/ZPR1/SNRNP70/SF3B4/POLR2A/DAZAP1/NUP98/PRDX6/HSPA8/THRAP3/PRMT5/SLC38A2/NCBP1/RBM3/U2AF2/WDR77/HNRNPLL/TRA2B/NCL/PRPF19/RBM22	26
BP	GO:0044788	modulation by host of viral process	26/4813	46/18614	9.80E-06	4.00E+00	7.29E-05	EIF2AK4/RAB5A/PIK3C3/TMEM41B/ROCK2/CFL1/CAV2/STOM/CCNK/PTX3/NUCKS1/EEA1/EEF1A1/VAPA/PSMC3/IGF2R/DDX56/PPIB/HSPA8/PAIP1/FMR1/YTHDC2/CDC42/FASN/PI4KA/PC	26
BP	GO:1903321	negative regulation of protein modification by small protein conjugation or removal	45/4813	97/18614	9.89E-06	3.99E+00	7.34E-05	CDC20/BUB3/TSPO/BAG2/VPS28/RPL5/DTX3L/UBR5/USP4/RPS20/RPS15/RPL23/TRIM21/N4BP1/RELA/IVNS1ABP/OTUB1/CTNNB1/GTPBP4/RPS7/UFL1/PPIA/RPL11/CHP1/AKT1/RPS3/DNAJA1/CDK5/PARK7/TRIP12/PLAA/U2AF2/BUB1B/GCLC/ATG5/PRMT3/OGT/CAV1/UBXN1/ISG15/SQSTM1/MAD2L1/DCUN1D3/NXN/BAG5	45
BP	GO:0048207	vesicle targeting, rough ER to cis-Golgi	18/4813	27/18614	9.93E-06	3.99E+00	7.35E-05	PPP6C/TRAPPC5/TRAPPC3/PDCD6/TRAPPC12/TRAPPC11/TMED2/TFG/TRAPPC8/SAR1B/PEF1/SAR1A/TMED10/CUL3/SEC16A/PREB/TRAPPC1/TRAPPC4	18
BP	GO:0048208	COPII vesicle coating	18/4813	27/18614	9.93E-06	3.99E+00	7.35E-05	PPP6C/TRAPPC5/TRAPPC3/PDCD6/TRAPPC12/TRAPPC11/TMED2/TFG/TRAPPC8/SAR1B/PEF1/SAR1A/TMED10/CUL3/SEC16A/PREB/TRAPPC1/TRAPPC4	18
BP	GO:0031668	cellular response to extracellular stimulus	99/4813	261/18614	1.06E-05	3.97E+00	7.83E-05	ZFYVE1/NUAK2/USP33/PRKAG2/PDK2/EIF4G1/DAP/MAPK3/PRKD1/AIFM1/MIOS/CBS/EIF2AK4/FOSL1/CD68/TSC1/PRKAG1/STK26/AXL/VPS41/PIK3C3/MLST8/EIF2AK2/PRKAA1/ITGA4/EIF2S1/MYBBP1A/LYN/SNW1/SEH1L/SIPA1/POSTN/WIPI1/WIPI2/SFRP1/CPEB4/NDOR1/FBXO22/SIRT1/IMPACT/TRIM24/PRKAB1/LAMP2/IFI16/RRP8/RALB/PIK3R4/NUDT1/SLC2A1/TBL2/ADNP/ASNS/SH3GLB1/EHMT2/CBL/MTOR/ARHGAP35/HMOX1/PPP1R9B/RXRB/HSPA8/STK24/MAPK1/PLIN3/SLC38A2/TXN2/HSPA5/HNRNPL/COMT/SLC7A5/DCPS/ATG7/KANK2/PLEC/ATP2B1/MED1/ATG5/GAS6/DCTPP1/GDAP1/NUDT15/PRKAB2/RXRA/AKR1C3/FAS/GSDMD/FADS1/RICTOR/PLIN2/SP1/WRN/CTSK/COL1A1/UPP1/BECN1/XPR1/CDKN1A/WDR45/RPTOR	99
BP	GO:0051973	positive regulation of telomerase activity	21/4813	34/18614	1.07E-05	3.96E+00	7.92E-05	MAP3K4/CCT4/MAPK3/GREM1/DKC1/HSP90AA1/AURKB/NVL/POT1/NAF1/CTNNB1/TCP1/PTGES3/HSP90AB1/PARN/CCT2/MAPK1/PNKP/XRCC5/NEK7/WRAP53	21
BP	GO:0071806	protein transmembrane transport	34/4813	67/18614	1.11E-05	3.95E+00	8.15E-05	LONP2/PEX13/AIFM1/SEC61G/GRPEL1/PAM16/CHCHD4/TOMM40/PEX5/TOMM22/TRAM2/TIMM44/SEC61A1/SEC63/PEX14/TMED10/SRP54/ROMO1/AKT2/HYOU1/HSPA5/TIMM50/USP9X/PEX1/TRAM1/SEC61B/SEC62/HSPD1/BCR/PEX16/TIMM21/PEX6/TIMM17A/DNAJC19	34
BP	GO:0043434	response to peptide hormone	150/4813	427/18614	1.11E-05	3.95E+00	8.16E-05	ZFP36L1/CCNA2/IGFBP5/CDKN1B/PDK2/PCK2/EIF2B2/MAPK3/PKM/ROCK1/RAF1/CTSD/EIF2B4/RBM4/APPL1/TSC1/AP3S1/RB1/GRB10/OSBPL8/INPPL1/TCF12/ROCK2/PIK3C2A/APPL2/PRKAA1/YWHAG/SOGA1/MYO1C/NCK1/SRSF5/PNPT1/LYN/STAT2/HSF1/PLAT/SLC27A1/PIP4K2A/IGF2/SLC27A4/TNS2/CAV2/PTK2/AGTRAP/ARID1B/LPIN1/SIRT1/SRSF4/PIK3R2/RELA/CPS1/MYO5A/SRC/NUCKS1/SOS1/INPP5K/QDPR/EIF2B3/LTA4H/EIF2B1/USO1/APRT/CSK/GOT1/SLC2A1/FBN1/STAT6/PTPN11/EIF4EBP2/BAIAP2/SHC1/NUDC/RAB10/MTOR/EIF2B5/CRK/PIP4K2C/STXBP3/RAP1GDS1/HADH/BCAR3/APEX1/PXN/BCAR1/HADHA/AKT1/RAB8A/PRKCI/EPM2AIP1/MAP1B/MAPK1/SNX5/BSG/LONP1/SLC39A14/POR/CYC1/STAT1/AKT2/MAPK14/GSK3A/GSK3B/STAT3/DAG1/RNF40/NCOA5/GCLC/IDE/ATP2B1/GRB2/NFKB1/OGT/CAV1/SORT1/EIF6/PRKDC/RANGAP1/CAT/STC2/EEF2K/PARP1/TSC2/GNAI2/NCL/SMARCC1/CYFIP1/ANXA1/DDR2/SYAP1/PIP4K2B/FOXC2/PTPN1/HRAS/TBC1D4/SRSF6/RAB13/CDK4/SP1/PHIP/VPS13C/RAB31/JUND/FER/MEN1/CTSK/COL1A1/SLC9A1/KANK1/PRKCD/DENND4C	150
BP	GO:0000338	protein deneddylation	10/4813	11/18614	1.12E-05	3.95E+00	8.16E-05	TOR1A/COPS6/COPS4/COPS5/COPS7A/COPS8/GPS1/COPS3/COPS2/COPS7B	10
BP	GO:0060623	regulation of chromosome condensation	10/4813	11/18614	1.12E-05	3.95E+00	8.16E-05	NCAPH2/SMC4/NCAPH/NCAPG/NCAPD2/BAZ1B/SMC2/SMARCA5/NCAPD3/NCAPG2	10
BP	GO:0070203	regulation of establishment of protein localization to telomere	10/4813	11/18614	1.12E-05	3.95E+00	8.16E-05	CCT4/DKC1/CCT3/CCT5/CCT7/TCP1/CCT8/CCT2/CCT6A/WRAP53	10
BP	GO:0070934	CRD-mediated mRNA stabilization	10/4813	11/18614	1.12E-05	3.95E+00	8.16E-05	IGF2BP1/IGF2BP3/IGF2BP2/HNRNPD/CSDE1/SYNCRIP/PAIP1/YBX1/HNRNPU/DHX9	10
BP	GO:0051452	intracellular pH reduction	29/4813	54/18614	1.18E-05	3.92E+00	8.64E-05	TMEM199/TMEM9/ATP6V0D2/SNAPIN/ATP6V0C/CLN3/TMEM106B/ATP6AP2/ATP6V0A2/SLC9A7/SLC4A7/ATP6V1F/ATP6V0D1/ATP6AP1/UBE3A/ATP6V1D/CLN6/ATP6V1A/PPT1/ATP6V1B2/CLN5/ATP6V1H/RAB7A/CLIC4/ATP6V0A1/GRN/CCDC115/DMXL2/DMXL1	29
BP	GO:0030038	contractile actin filament bundle assembly	49/4813	109/18614	1.20E-05	3.92E+00	8.69E-05	BAG4/PDLIM1/PHLDB2/ACTG1/ROCK1/ARAP1/ARHGEF10/TSC1/ROCK2/MET/WASF2/ARHGEF18/PPFIA1/FERMT2/CLASP2/SFRP1/SDC4/S100A10/CCDC88A/PIK3R2/NF2/CLASP1/SRC/INPP5K/NRP1/CD47/SMAD3/MTOR/PXN/PFN1/PPM1F/ITGB5/RHOC/FHOD1/CORO2B/CUL3/RHOA/PFN2/PAK1/LIMCH1/PAK2/ZYX/TJP1/SORBS3/CDC42/STMN1/TPM1/SLC9A1/FAM171A1	49
BP	GO:0043149	stress fiber assembly	49/4813	109/18614	1.20E-05	3.92E+00	8.69E-05	BAG4/PDLIM1/PHLDB2/ACTG1/ROCK1/ARAP1/ARHGEF10/TSC1/ROCK2/MET/WASF2/ARHGEF18/PPFIA1/FERMT2/CLASP2/SFRP1/SDC4/S100A10/CCDC88A/PIK3R2/NF2/CLASP1/SRC/INPP5K/NRP1/CD47/SMAD3/MTOR/PXN/PFN1/PPM1F/ITGB5/RHOC/FHOD1/CORO2B/CUL3/RHOA/PFN2/PAK1/LIMCH1/PAK2/ZYX/TJP1/SORBS3/CDC42/STMN1/TPM1/SLC9A1/FAM171A1	49
BP	GO:0097191	extrinsic apoptotic signaling pathway	88/4813	227/18614	1.21E-05	3.92E+00	8.80E-05	TGFB1/MLLT11/NF1/BAD/RAF1/FAF1/PTEN/STK4/CTTN/TNFRSF12A/CTNNA1/GSTP1/BAX/BCL10/CASP2/BCL2L1/MAPK7/HYAL2/TRAF1/DIABLO/SFRP1/TMBIM1/THBS1/ZC3HC1/NOL3/SERPINE1/RELA/TRADD/ARHGEF2/SRC/ITPRIP/BIRC6/HMGB2/PPP1CA/GPX1/NRP1/PRDX2/PML/PPP2R1B/SMAD3/BID/RIPK1/TGFB2/HMOX1/NDUFA13/SP100/RBCK1/FADD/BAG3/ITGAV/DAXX/AKT1/LGALS3/LMNA/STK3/GSK3A/GSK3B/PARK7/PPP2R1A/PDIA3/PSME3/PEA15/GCLC/STX4/HTRA2/PAK2/CAV1/SORT1/TNFRSF10B/GCLM/BLOC1S2/KRT8/DDX47/YAP1/FAS/KRT18/PHIP/ZMYND11/ICAM1/ITGA6/HTT/ZDHHC3/BAK1/CASP8/COL2A1/DAPK1/FAIM/CRADD	88
BP	GO:0042307	positive regulation of protein import into nucleus	23/4813	39/18614	1.23E-05	3.91E+00	8.88E-05	TGFB1/PRKD1/FLNA/HSP90AA1/UBR5/ECT2/HDAC3/HYAL2/PIK3R2/ZPR1/MAVS/TRIM28/SMAD3/IPO5/TARDBP/BAG3/MAPK14/TPR/RAN/CDK1/JUP/RBM22/PRKCD	23
BP	GO:1901653	cellular response to peptide	134/4813	375/18614	1.24E-05	3.91E+00	8.97E-05	CASP4/ZFP36L1/CCNA2/PDK2/PCK2/MAPK3/PKM/ROCK1/RAF1/CTSD/LGMN/RBM4/EPHB2/APPL1/AP3S1/PRNP/RB1/GRB10/OSBPL8/ROCK2/CHMP5/PIK3C2A/APPL2/PRKAA1/YWHAG/SOGA1/ITGA4/MYO1C/NCK1/SRSF5/LYN/RPL23/HSF1/PLAT/SLC27A1/RIPK2/GFER/PIP4K2A/IGF2/SLC27A4/TNS2/CAV2/PTK2/AGTRAP/ARID1B/LPIN1/SIRT1/CACNA2D1/PIK3R2/RELA/CPS1/MYO5A/ARHGEF2/SRC/NUCKS1/GJA1/SOS1/INPP5K/USO1/APRT/CSK/GOT1/FBN1/STAT6/PTPN11/LRP1/EIF4EBP2/BAIAP2/SHC1/RAB10/ABCC1/CRK/PIP4K2C/RAP1GDS1/BCAR3/APEX1/PXN/BCAR1/SNX6/PPP1R9B/AKT1/RAB8A/PRKCI/MAP1B/MAPK1/SNX5/LONP1/SLC39A14/POR/STAT1/AKT2/CDK5/GSK3A/GSK3B/STAT3/NCOA5/GCLC/IDE/ATP2B1/GRB2/NFKB1/OGT/CAV1/PRKDC/RANGAP1/VIM/EEF2K/PARP1/TSC2/GNAI2/NCL/SMARCC1/APP/CYFIP1/DDR2/SYAP1/PIP4K2B/FOXC2/PTPN1/HRAS/TBC1D4/RAB13/CDK4/SP1/PHIP/ICAM1/RAB31/FER/MEN1/SLC9A1/ATP1A3/KANK1/PRKCD/DENND4C	134
BP	GO:1901880	negative regulation of protein depolymerization	35/4813	70/18614	1.26E-05	3.90E+00	9.09E-05	KATNB1/CKAP2/ADD1/TPX2/CAPZB/MTPN/ADD3/HDAC6/CLASP2/MID1/CAMSAP2/GSN/ARHGEF2/CLASP1/SVIL/CAPZA1/TAOK1/SPTBN4/SPTBN1/RDX/SPTAN1/TWF1/TWF2/TRIOBP/MAP1B/FLII/EPS8/LIMA1/SWAP70/CAPZA2/STMN2/TMOD3/SPTBN2/WDR47/LMOD1	35
BP	GO:0061951	establishment of protein localization to plasma membrane	32/4813	62/18614	1.27E-05	3.90E+00	9.16E-05	GOLGA7/GOLPH3L/ACSL3/MACF1/RILPL1/CLN3/VAMP5/GGA2/VAMP3/ATP2C1/LYPLA1/ATP6AP1/CSK/SPTBN1/GOLGA4/SCRIB/RDX/RAB10/GORASP2/NSF/RAB34/VPS35/RAB8A/RAB7A/OPTN/GGA1/GOLPH3/PREPL/KRT18/RAB31/KIF13A/GRIPAP1	32
BP	GO:0009262	deoxyribonucleotide metabolic process	25/4813	44/18614	1.28E-05	3.90E+00	9.19E-05	DGUOK/DPYD/PNP/SAMHD1/RRM2/NUDT16/UNG/GUK1/SHMT1/ADK/NT5C/ADA/DERA/NT5C2/DTYMK/DUT/DCK/DCTPP1/NUDT15/TYMS/RRM1/AK5/NTHL1/TBPL1/UPP1	25
BP	GO:0019692	deoxyribose phosphate metabolic process	25/4813	44/18614	1.28E-05	3.90E+00	9.19E-05	DGUOK/DPYD/PNP/SAMHD1/RRM2/NUDT16/UNG/GUK1/SHMT1/ADK/NT5C/ADA/DERA/NT5C2/DTYMK/DUT/DCK/DCTPP1/NUDT15/TYMS/RRM1/AK5/NTHL1/TBPL1/UPP1	25
BP	GO:0044275	cellular carbohydrate catabolic process	25/4813	44/18614	1.28E-05	3.90E+00	9.19E-05	GPD2/PGAM1/MLST8/PGD/STBD1/ABHD10/PYGL/TIGAR/PYGB/GAA/ENOSF1/PPP1CA/SCARB2/MTOR/PGM2/AGL/PYGM/PFKM/TPI1/GSK3A/LCT/SORD/GUSB/PHKG2/RPTOR	25
BP	GO:0006006	glucose metabolic process	75/4813	187/18614	1.31E-05	3.89E+00	9.40E-05	PDK2/PCK2/ZMPSTE24/BAD/PKM/MDH1/SLC25A11/ARPP19/PGK1/NNMT/FOXK1/PFKL/HK2/FABP5/INPPL1/PRKAA1/SOGA1/SLC25A13/DCXR/ENO2/TIGAR/USP7/COX11/IGF2/FOXK2/GDPGP1/IGFBP3/PGM1/SIRT1/DLAT/G6PC3/PGM2L1/SLC25A12/GAA/SRC/CPT1A/G6PD/ADPGK/ALDOC/PGP/GOT1/SLC25A10/GPI/BRAT1/LCMT1/WDR5/PDHA1/SLC25A1/ACADM/PGM2/PDHB/HK1/PFKP/GAPDH/AKT1/MDH2/EPM2AIP1/PFKM/DDB1/SLC39A14/TPI1/AKT2/MAPK14/GSK3A/ENO1/SORD/RANBP2/OGT/NR3C1/NLN/ENO3/GALM/H6PD/PHKG2/PC	75
BP	GO:1901989	positive regulation of cell cycle phase transition	53/4813	121/18614	1.34E-05	3.88E+00	9.63E-05	CDCA5/DDRGK1/CCNB1/UBE2C/EIF4G1/MEPCE/ANAPC7/PAF1/FAM83D/RB1/RRM2/CUL4B/CDC16/HSPA2/CPSF3/ADAMTS1/THOC5/MBLAC1/CDC73/PPP1R10/CDC23/PLRG1/PHB2/VPS4B/SIN3A/RDX/NPM1/DDX39B/APEX1/AKT1/BRD4/EGFR/ANKRD17/THOC1/CUL3/CUL4A/CDK1/APP/ANXA1/DDR2/RRM1/DLGAP5/TMOD3/ANAPC5/CDK4/RCC2/CCND1/NSMCE2/TFDP1/EZH2/CCND2/ADAM17/RPTOR	53
BP	GO:0010165	response to X-ray	20/4813	32/18614	1.35E-05	3.88E+00	9.66E-05	LIG4/SFRP1/CASP3/NUCKS1/NIPBL/ATM/TP53BP1/XRCC5/MSH2/BRCC3/XRCC4/DNM2/ANXA1/XRCC6/IKBIP/CCND1/ERCC1/CCND2/THBD/RAD51	20
BP	GO:0045070	positive regulation of viral genome replication	20/4813	32/18614	1.35E-05	3.88E+00	9.66E-05	TARBP2/PPID/PPIE/HACD3/PKN2/TOP2B/CNOT7/LARP1/SRPK1/ADAR/PPIH/PPIA/RAD23A/STAU1/DDB1/PDE12/VAPB/IFIT1/TOP2A/SRPK2	20
BP	GO:0009220	pyrimidine ribonucleotide biosynthetic process	16/4813	23/18614	1.38E-05	3.87E+00	9.83E-05	UMPS/NME4/NME3/NME2P1/NME1/NME7/UCK2/CTPS1/NME2/DCK/CMPK1/CAD/AK5/CTPS2/UPP1/UCKL1	16
BP	GO:1901673	regulation of mitotic spindle assembly	16/4813	23/18614	1.38E-05	3.87E+00	9.83E-05	CEP97/EML3/CHMP5/CHMP6/CHMP7/CHMP2B/CHMP4B/VPS4B/CHMP1A/CHMP4A/TPR/DRG1/HNRNPU/PLK1/CHMP2A/CHMP3	16
BP	GO:0000725	recombinational repair	71/4813	175/18614	1.39E-05	3.87E+00	9.87E-05	RNF138/ZMYND8/ERCC5/RAD21/RPA3/UBQLN4/TERF2IP/SAMHD1/NSMCE1/SMCHD1/ACTR2/ERCC4/POGZ/WDR48/LIG3/NBN/SMC6/CHD4/NUCKS1/NIPBL/RUVBL2/GINS4/MMS19/RUVBL1/ACTL6A/PPP4C/PSMD14/RIF1/RECQL/ATM/INTS3/TP53BP1/PPP4R2/MORF4L2/TRRAP/SFPQ/ARID2/FIGNL1/MCM2/FUS/XRCC5/MCM5/RPA2/FEN1/MCM6/PARP1/RPA1/KDM1A/XRCC1/XRCC6/MCM7/MCM4/TONSL/ACTB/MCM3/MORF4L1/WRN/BRD8/NSMCE2/WRAP53/GINS2/NSMCE4A/EP400/INIP/TOP3A/ZFYVE26/CHEK1/NABP2/MMS22L/RAD51/AP5S1	71
BP	GO:0031109	microtubule polymerization or depolymerization	55/4813	127/18614	1.40E-05	3.87E+00	9.90E-05	TUBGCP6/CDKN1B/KATNB1/CKAP2/MAP7D3/TPX2/CRYAB/MAPRE1/MAPRE2/MET/TUBA1A/RANBP9/CKAP5/AKAP9/MAP1S/HDAC6/CLASP2/MAP2/MID1/CAMSAP2/GIT1/ARHGEF2/CLASP1/SNCA/TAOK1/SLAIN2/ZNF207/ARHGEF7/NEDD1/MAP1A/TUBGCP3/MAP1B/RPS3/KIF2A/GOLGA2/FKBP4/TBCD/TUBGCP2/RANGRF/DCTN1/PAK1/NUMA1/ARL2/CAMSAP1/DRG1/STMN2/CLIP1/STMN1/TUBGCP4/PDE4DIP/KIF2C/WDR47/SPAST/MAPRE3/NDE1	55
BP	GO:0035303	regulation of dephosphorylation	55/4813	127/18614	1.40E-05	3.87E+00	9.90E-05	TGFB1/BAG4/ROCK1/PPP6R3/ARPP19/TSC1/MTMR9/PPP6R1/PPP1R11/MTMR1/ROCK2/CDK5RAP3/SMPD1/GNA12/BOD1/MTMR2/PDGFRB/FKBP1A/LPIN1/SRC/SYMPK/INPP5K/SMG6/IGBP1/CSNK2B/TIPRL/YWHAB/PPP1R7/IKBKB/PIN1/SMAD3/PPP1R8/PPP2R5D/MTOR/HSP90AB1/TGFB2/PPIA/IQGAP1/CHP1/PPP1R9B/PPP1R12A/LGALS3/HSP90B1/GSK3B/PTBP1/MASTL/SWAP70/ANKLE2/PPP6R2/GNAI2/ENSA/ITGA2/HTT/YWHAE/PRKCD	55
BP	GO:0033866	nucleoside bisphosphate biosynthetic process	30/4813	57/18614	1.43E-05	3.86E+00	0.000100632	PDK2/ACACA/ACSL1/ACSL3/GCDH/ELOVL1/HSD17B12/COASY/ACAT1/ACSS2/PPCS/DLAT/ACOT7/TECR/SNCA/DCAKD/DLD/PPT1/PDHA1/SLC25A1/ACLY/PDHB/PDHX/ACSL4/ELOVL5/PAPSS2/PAPSS1/PANK4/ACSF3/PPT2	30
BP	GO:0034030	ribonucleoside bisphosphate biosynthetic process	30/4813	57/18614	1.43E-05	3.86E+00	0.000100632	PDK2/ACACA/ACSL1/ACSL3/GCDH/ELOVL1/HSD17B12/COASY/ACAT1/ACSS2/PPCS/DLAT/ACOT7/TECR/SNCA/DCAKD/DLD/PPT1/PDHA1/SLC25A1/ACLY/PDHB/PDHX/ACSL4/ELOVL5/PAPSS2/PAPSS1/PANK4/ACSF3/PPT2	30
BP	GO:0034033	purine nucleoside bisphosphate biosynthetic process	30/4813	57/18614	1.43E-05	3.86E+00	0.000100632	PDK2/ACACA/ACSL1/ACSL3/GCDH/ELOVL1/HSD17B12/COASY/ACAT1/ACSS2/PPCS/DLAT/ACOT7/TECR/SNCA/DCAKD/DLD/PPT1/PDHA1/SLC25A1/ACLY/PDHB/PDHX/ACSL4/ELOVL5/PAPSS2/PAPSS1/PANK4/ACSF3/PPT2	30
BP	GO:0016571	histone methylation	57/4813	133/18614	1.44E-05	3.86E+00	0.000101039	PRMT7/FBL/RTF1/PAF1/NNMT/SETDB1/N6AMT1/CTR9/SNW1/SETD7/IWS1/MYD88/EHMT1/BOD1/MCRS1/FBLL1/ASH1L/SIRT1/WDR82/CLNS1A/SMYD5/SMYD3/RRP8/CHTOP/CARM1/PAXBP1/CTNNB1/SUZ12/SMARCB1/RIF1/EHMT2/WDR5/RBBP5/TRMT112/NFYC/NELFA/NTMT1/PRMT5/LMNA/PRMT1/SMAD4/PIH1D1/HCFC1/ASH2L/WDR77/OGT/NELFE/PRDM6/SMYD2/KDM1A/RNF20/BOD1L1/SMARCA5/DPY30/PRDM2/EZH2/MEN1	57
BP	GO:0006275	regulation of DNA replication	58/4813	136/18614	1.45E-05	3.85E+00	0.000101867	CCNA2/ACTR5/ZBTB38/RBBP6/ZMPSTE24/GINS1/FAF1/ATRX/CHTF18/RFC2/CDK2/MCRS1/LPIN1/CCDC88A/LIG3/RFC4/NBN/NUCKS1/UCHL5/GTPBP4/RUVBL2/GINS4/RUVBL1/ACTL6A/EHMT2/RFC5/BCAR3/PDS5A/PCNA/S100A11/SMC3/EGFR/ORC3/ANKRD17/SSBP1/MAP2K4/MCM2/POLE3/PPP2R1A/MCM5/BAZ1A/MCM6/DHX9/CDK1/PPP2CA/MCM7/MCM4/ORC5/GINS3/RFC3/MCM3/SMARCA5/SMARCAL1/ATR/GINS2/ACTR8/KAT7/WIZ	58
BP	GO:0046785	microtubule polymerization	41/4813	87/18614	1.51E-05	3.84E+00	0.000106035	TUBGCP6/CDKN1B/MAP7D3/TPX2/MAPRE1/MET/TUBA1A/RANBP9/CKAP5/AKAP9/CLASP2/MAP2/CAMSAP2/GIT1/CLASP1/SNCA/SLAIN2/ZNF207/ARHGEF7/NEDD1/TUBGCP3/MAP1B/RPS3/GOLGA2/FKBP4/TBCD/TUBGCP2/RANGRF/DCTN1/PAK1/NUMA1/ARL2/CAMSAP1/DRG1/STMN2/CLIP1/STMN1/TUBGCP4/PDE4DIP/MAPRE3/NDE1	41
BP	GO:0071375	cellular response to peptide hormone stimulus	113/4813	308/18614	1.55E-05	3.83E+00	0.000108412	ZFP36L1/CCNA2/PDK2/PCK2/MAPK3/PKM/ROCK1/RAF1/CTSD/RBM4/APPL1/AP3S1/RB1/GRB10/OSBPL8/ROCK2/PIK3C2A/APPL2/PRKAA1/YWHAG/SOGA1/MYO1C/NCK1/SRSF5/LYN/HSF1/PLAT/SLC27A1/PIP4K2A/IGF2/SLC27A4/TNS2/CAV2/PTK2/AGTRAP/ARID1B/LPIN1/SIRT1/PIK3R2/RELA/CPS1/MYO5A/SRC/NUCKS1/SOS1/INPP5K/USO1/APRT/CSK/GOT1/FBN1/STAT6/PTPN11/EIF4EBP2/BAIAP2/SHC1/RAB10/CRK/PIP4K2C/RAP1GDS1/BCAR3/APEX1/PXN/BCAR1/AKT1/RAB8A/PRKCI/MAP1B/MAPK1/SNX5/LONP1/SLC39A14/POR/STAT1/AKT2/GSK3A/GSK3B/STAT3/NCOA5/GCLC/IDE/ATP2B1/GRB2/NFKB1/OGT/CAV1/PRKDC/RANGAP1/EEF2K/PARP1/TSC2/GNAI2/NCL/SMARCC1/CYFIP1/DDR2/SYAP1/PIP4K2B/FOXC2/PTPN1/HRAS/TBC1D4/RAB13/CDK4/SP1/PHIP/RAB31/FER/MEN1/SLC9A1/KANK1/PRKCD/DENND4C	113
BP	GO:0090235	regulation of metaphase plate congression	11/4813	13/18614	1.56E-05	3.82E+00	0.000108805	TTL/DYNC1H1/AURKB/MAD1L1/INCENP/NUMA1/HNRNPU/SPAG5/BIRC5/BECN1/CDCA8	11
BP	GO:0098792	xenophagy	11/4813	13/18614	1.56E-05	3.82E+00	0.000108805	MAPK3/ATG16L1/RNF31/RIPK2/WIPI2/RNF213/CALCOCO2/LGALS8/LRSAM1/TBK1/OPTN	11
BP	GO:0000387	spliceosomal snRNP assembly	28/4813	52/18614	1.56E-05	3.82E+00	0.000109057	PRMT7/LSM4/USP4/COIL/TSSC4/CLNS1A/SNRPE/PRPF3/SNRPC/LSM2/SNRPD3/SNRPD1/CD2BP2/GEMIN5/PRPF6/PRPF8/PRMT5/GEMIN4/WDR77/STRAP/SNRPD2/PRPF31/SART1/DDX20/SNRPF/PRPF19/SART3/AAR2	28
